category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,value_score,price_per_liter,price_per_person
0.0,0.48,6120000.0,3.0,0.6000000000000001,0.0,0.7777777777777777,0.56,0.0001818677821223,4.9019607763039856e-06,601068500.4912088,10032786.8852459
0.0,0.52,6270000.0,4.7,0.6000000000000001,0.0,0.5555555555555556,0.08,0.0005456033463671,7.496012747215291e-06,594560576.0110425,10278688.524590163
0.0,0.16,4100000.0,4.2,0.4000000000000001,0.6666666666666666,0.5,0.08,1.0,1.0243902414039263e-05,4059405.9405940594,9999999.999999998
0.0,0.68,6700000.0,1.0,1.0000000000000002,0.0,0.6666666666666666,0.64,0.0015458761480403,1.4925373112051681e-06,580293770.1819365,6633663.3663366325
0.0,0.72,14300000.0,4.2,0.6000000000000001,0.0,0.0,0.68,0.0001818677821223,2.937062935009047e-06,1404457443.9582164,23442622.950819667
0.0,0.28,7700000.0,4.2,0.8,0.0,0.6666666666666666,0.08,0.0020005456033463,5.45454544746163e-06,641637493.3697089,9506172.839506172
0.0,0.44,7500000.0,3.0,0.6000000000000001,0.0,0.8888888888888888,0.88,0.0020005456033463,3.999999994666667e-06,624971584.4510151,12295081.967213113
0.0,0.88,3459340.0,4.5,0.6000000000000001,0.0,0.6666666666666666,0.64,0.0005456033463671,1.3008261653933232e-05,328036233.3362104,5671049.180327868
0.0,0.08,8900000.0,4.3,0.8,0.0,0.611111111111111,0.44,0.0015458761480403,4.831460668728696e-06,770837993.2267514,10987654.320987653
0.0,0.96,8855000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.08,0.0010912066927343,4.74308299859618e-06,798380216.4466732,14516393.442622948
0.0,0.4,8900000.0,4.1,0.6000000000000001,0.0,0.9444444444444444,0.84,0.0020005456033463,4.606741567857594e-06,741632946.8818712,14590163.934426228
0.0,0.2,19888000.0,3.5,0.0,0.0,0.2777777777777778,0.08,0.0001818677821223,1.7598551881738458e-06,1953276198.9818888,1988800000.0
0.0,0.36,7200000.0,5.0,0.4000000000000001,0.0,0.6666666666666666,0.08,0.0015458761480403,6.944444434799383e-06,623599275.4193944,17560975.609756093
0.0,0.0,5625000.0,3.0,0.6000000000000001,0.0,0.6666666666666666,0.4,0.0005456033463671,5.333333323851852e-06,533397645.94292086,9221311.475409834
0.0,0.08,5625000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.24,0.0005456033463671,7.466666653392593e-06,533397645.94292086,9221311.475409834
0.0,0.56,5625000.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.36,0.0020005456033463,5.333333323851852e-06,468728688.3382613,9221311.475409834
0.0,0.12,5625000.0,5.0,0.6000000000000001,0.0,0.5555555555555556,0.08,0.0020005456033463,8.88888887308642e-06,468728688.3382613,9221311.475409834
