category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material,value_score,price_per_accessory
0.0,0.0363636363636363,705000,3.6,0.0,0.0416666666666666,0.0,1.0,0.3125,5.106382906292441e-05,70500000.0
0.0,0.109090909090909,4988910,5.0,0.0,0.4166666666666666,0.0,1.0,0.25,1.0022229284508582e-05,498891000.0
0.0,0.8909090909090909,11499000,5.0,0.0,0.3333333333333333,0.0,1.0,0.25,4.3482041878874646e-06,1149900000.0
0.0,0.4363636363636363,6500000,4.3,1.0,0.25,0.3333333333333333,1.0,0.3125,6.615384605207101e-06,18932038.834951457
0.0,0.5818181818181818,5900000,2.5,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,4.237288128411376e-06,17184466.019417476
0.0,1.0,890000,3.2,0.25,0.3333333333333333,0.6666666666666666,0.0,0.3125,3.595505577578589e-05,1315270.935960591
0.0,0.2545454545454545,1629000,4.0,0.25,0.3333333333333333,0.0,0.0,0.25,2.4554941531277215e-05,162900000.0
0.0,0.7272727272727273,940000,4.2,0.0,0.3333333333333333,0.0,1.0,0.3125,4.468085058850159e-05,94000000.0
0.0,0.6,6700000,4.9,0.0,0.5,0.3333333333333333,0.5,0.375,7.313432824905325e-06,19514563.106796116
0.0,0.9090909090909092,70501000,5.0,0.0,0.5416666666666666,0.3333333333333333,0.5,0.875,7.092097983419795e-07,205342718.44660196
0.0,0.1636363636363636,1690000,4.2,0.0,0.3333333333333333,0.0,1.0,0.25,2.4852070858863487e-05,169000000.0
0.0,0.9090909090909092,72313400,5.0,0.0,0.5416666666666666,0.3333333333333333,0.5,0.25,6.914347823928297e-07,210621553.39805827
0.0,0.3090909090909091,4300000,4.3,0.0,0.5,0.0,1.0,0.25,9.999999976744186e-06,430000000.0
0.0,0.5272727272727272,4400000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25,9.090909070247935e-06,440000000.0
0.0,0.4181818181818181,1100000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25,3.72727269338843e-05,110000000.0
0.0,0.5272727272727272,4370000,4.0,0.0,0.3333333333333333,0.0,0.5,0.25,9.153318056857397e-06,437000000.0
0.0,0.0,8000000,5.0,0.0,0.9166666666666666,0.3333333333333333,0.5,0.25,6.2499999921875e-06,23300970.87378641
0.0,0.4363636363636363,3400000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25,1.2058823493944637e-05,340000000.0
0.0,0.1999999999999999,1580000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25,2.53164555359718e-05,158000000.0
0.0,0.4363636363636363,35000000,4.1,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25,1.1714285710938776e-06,101941747.57281554
0.0,0.2727272727272727,897000,3.5,0.0,0.3333333333333333,0.0,1.0,0.3125,3.9018951627436437e-05,89700000.0
0.0,0.6,4410000,4.3,0.0,0.1666666666666666,0.0,1.0,0.9375,9.750566871313907e-06,441000000.0
