category,brand,price,rating,type,energy_rating,height,width,depth,fridge_shelves,freezer_shelves,total_capacity,value_score,volume_m3,form_factor_ratio,price_per_liter,shelf_to_capacity_ratio
0.0,0.5,34100000,4.2,0.8,0.0,0.0717978173463526,0.8823529411764706,0.0445969125214408,0.5,0.1428571428571428,0.6009501187648456,1.2316715538910054e-06,2.825259687728534e-09,0.08045899109347358,55814703.93841608,1.052225252295234
0.0,0.5,58390000,4.0,0.0,0.25,0.0695002871912693,0.3235294117647059,0.0274442538593481,0.6666666666666666,0.0,0.6448931116389549,6.850488096103702e-07,6.170946698447863e-10,0.20837828611138942,89159587.97287004,1.0179778269437694
0.0,0.2666666666666666,15980000,3.9,0.8,1.0,0.0537047673750717,0.2352941176470588,0.0205831903945111,0.3333333333333333,0.1428571428571428,0.176959619952494,2.4405506868331975e-06,2.600977534056538e-10,0.21894029865137146,85473002.15982723,2.54702312890599
0.0,0.3,45000000,4.1,0.2,0.25,0.0676622630672027,1.0,0.0454545454545454,0.5,0.4285714285714285,0.6330166270783848,9.11111110908642e-07,3.0755574121455737e-09,0.06699233967049772,69982638.2475712,1.4440861860609928
0.0,0.8,57169000,3.8,0.0,0.25,0.0735209649626651,0.6176470588235294,0.0205831903945111,0.6666666666666666,0.2857142857142857,0.992874109263658,6.64695901508738e-07,9.346828357679123e-10,0.11713743246160324,57005160.93886928,0.9496515500636672
0.0,0.2666666666666666,7850000,4.0,0.4,0.25,0.0,0.1764705882352941,0.0102915951972555,0.1666666666666666,0.2857142857142857,0.0,5.09554139478275e-06,0.0,0.0,785000000.0,45.238095238095234
0.0,0.3,43000000,4.2,0.2,0.25,0.0723721998851234,0.8823529411764706,0.0356775300171526,0.3333333333333333,0.2857142857142857,0.4334916864608076,9.767441858193618e-07,2.2782894121842863e-09,0.08110266302222136,96957849.07075143,1.3958494329122577
0.0,0.5,27900000,4.3,1.0,0.25,0.0815623205054566,0.3529411764705882,0.0291595197255574,0.6666666666666666,0.2857142857142857,0.3942992874109263,1.5412186374404234e-06,8.394063859909752e-10,0.2247260046341592,69008283.88461314,2.355633517139892
0.0,0.4666666666666667,100000000,3.0,0.2,0.25,0.0704192992533026,1.0,0.0771869639794168,0.6666666666666666,0.2857142857142857,0.7779097387173397,2.9999999997e-07,5.43545191492044e-09,0.06972207846861644,126918091.10367489,1.2087437247969037
0.0,0.4666666666666667,29500000,4.0,1.0,0.25,0.0786904078116025,0.4411764705882353,0.0360205831903945,0.5,0.2857142857142857,0.3598574821852731,1.3559322029301925e-06,1.2505034033223075e-09,0.1744115948888191,79760452.1225355,2.124370395515473
0.0,0.5,63860000,4.1,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.5,0.2857142857142857,0.6377672209026128,6.420294392981476e-07,8.526199082228122e-10,0.2315528215292349,98584797.03714569,1.2129577730399115
