category,brand,price,rating,power,blade_material,dimensions,food_prep_features,value_score,price_per_watt,performance_rating
0.0,0.1395348837209302,6642000,1.0,0.1212121212121212,0.7647058823529411,0.2,0.0,1.5055706089949255e-06,50620323.32563511,0.1212121212121212
0.0,0.6511627906976745,3650000,3.6,0.2121212121212121,0.1764705882352941,0.8222222222222223,0.0,9.863013671608183e-06,16432469.304229196,0.7636363636363636
0.0,0.6511627906976745,7500000,3.3,0.6060606060606061,0.0,0.888888888888889,0.0,4.399999994133333e-06,12174126.906050172,2.0
0.0,0.3953488372093023,20155390,3.9,0.6363636363636364,0.9411764705882352,0.2,0.0,1.9349662785314666e-06,31182741.209563993,2.481818181818182
0.0,0.2093023255813953,5300000,4.0,0.2424242424242424,0.0,0.4666666666666667,0.0,7.547169797080812e-06,20996398.559423774,0.9696969696969696
0.0,0.3023255813953488,3297000,2.5,0.4242424242424242,0.1764705882352941,0.2,0.3333333333333333,7.582650871754168e-06,7592533.147243545,1.0606060606060606
0.0,0.6744186046511628,6837000,4.5,0.2727272727272727,0.8823529411764706,0.2,0.0,6.5818341281529415e-06,24182315.112540193,1.227272727272727
0.0,0.5581395348837209,5420000,3.8,0.4848484848484848,0.1764705882352941,0.3111111111111111,0.0,7.011070097765553e-06,10952847.51990202,1.842424242424242
0.0,0.6511627906976745,6700000,3.9,0.1818181818181818,0.0,0.2,0.0,5.820895513700156e-06,34928909.95260664,0.709090909090909
0.0,0.6511627906976745,3550000,3.7,1.0,0.1764705882352941,0.1111111111111111,0.0,1.0422535181908352e-05,3514851.4851485146,3.7
0.0,0.6511627906976745,3850000,4.5,0.2121212121212121,0.1764705882352941,0.8222222222222223,0.0,1.1688311657952438e-05,17332878.58117326,0.9545454545454545
0.0,0.4186046511627906,5200000,4.0,0.2727272727272727,0.0,0.0888888888888888,0.3333333333333333,7.692307677514793e-06,18392282.95819936,1.0909090909090908
0.0,0.2558139534883721,9690000,3.9,0.1212121212121212,0.1764705882352941,0.2,0.0,4.024767797704058e-06,73849884.5265589,0.47272727272727266
0.0,0.9302325581395348,15000000,3.5,0.5757575757575758,0.1764705882352941,0.2,0.3333333333333333,2.333333331777778e-06,25607863.4247284,2.015151515151515
0.0,0.5348837209302325,13000000,3.9,0.4848484848484848,0.2941176470588235,0.2,0.6666666666666666,2.999999997692308e-06,26270667.48315983,1.8909090909090907
0.0,0.9302325581395348,11900000,3.9,0.4848484848484848,0.1764705882352941,0.2,1.0,3.2773109216157054e-06,24047764.849969383,1.8909090909090907
0.0,0.2790697674418604,9020000,3.9,0.3939393939393939,0.1764705882352941,0.9333333333333332,0.0,4.323725050638886e-06,22330082.52063016,1.5363636363636362
0.0,0.5813953488372093,12800000,3.0,0.3636363636363636,0.1764705882352941,0.3777777777777777,0.0,2.3437499981689454e-06,34257907.54257908,1.0909090909090908
0.0,0.627906976744186,7520000,5.0,0.3939393939393939,0.5294117647058824,0.2,0.0,6.6489361613710955e-06,18616654.163540885,1.9696969696969697
0.0,0.2558139534883721,10500000,3.9,0.1212121212121212,0.1764705882352941,0.2,0.0,3.7142857107482996e-06,80023094.68822172,0.47272727272727266
0.0,0.5581395348837209,6250000,3.0,0.4848484848484848,0.1176470588235294,0.2,0.0,4.79999999232e-06,12630128.597672995,1.4545454545454544
0.0,0.5581395348837209,9500000,3.0,0.1212121212121212,0.3529411764705882,0.0666666666666666,0.0,3.1578947335180057e-06,72401847.57505774,0.3636363636363636
0.0,0.1860465116279069,5100000,3.9,0.303030303030303,0.7647058823529411,0.2,0.0,7.64705880853518e-06,16292352.37173282,1.1818181818181817
0.0,0.1627906976744186,3300000,4.5,0.6060606060606061,0.1764705882352941,0.5555555555555556,0.0,1.3636363595041324e-05,5356615.838662076,2.7272727272727275
0.0,0.1627906976744186,3500000,3.0,0.2424242424242424,0.1764705882352941,0.1777777777777777,0.0,8.571428546938777e-06,13865546.218487397,0.7272727272727272
0.0,0.6511627906976745,6850000,4.0,0.4545454545454546,0.0,0.8222222222222223,0.0,5.839416049869466e-06,14745596.86888454,1.8181818181818183
0.0,0.7674418604651163,4380000,3.9,0.4848484848484848,0.5882352941176471,0.2,0.0,8.90410956871208e-06,8851194.121249234,1.8909090909090907
0.0,0.1395348837209302,6990000,3.9,0.8787878787878788,0.1764705882352941,0.2,0.6666666666666666,5.5793991336489285e-06,7864643.709512444,3.4272727272727272
0.0,0.4651162790697674,3299000,3.9,0.0303030303030303,0.0,0.2,0.0,1.1821764135126511e-05,81854887.21804512,0.11818181818181817
0.0,0.7441860465116279,13540000,3.9,0.5151515151515151,0.1764705882352941,0.2,0.3333333333333333,2.8803545030425742e-06,25783035.199076746,2.009090909090909
0.0,0.3023255813953488,4320000,5.0,0.0303030303030303,0.1764705882352941,0.2,0.3333333333333333,1.1574074047282237e-05,107187969.92481203,0.1515151515151515
0.0,0.6744186046511628,7776000,3.0,0.3636363636363636,0.8823529411764706,0.2,0.0,3.858024686396573e-06,20811678.83211679,1.0909090909090908
0.0,0.1627906976744186,5100000,4.5,0.8484848484848485,0.1764705882352941,0.8,0.0,8.823529394463668e-06,5940698.905753618,3.8181818181818183
0.0,0.9069767441860463,11400000,3.9,0.4848484848484848,1.0,0.2,0.0,3.421052628578024e-06,23037354.562155545,1.8909090909090907
0.0,0.6976744186046512,7200000,4.5,0.2424242424242424,0.1764705882352941,0.2,0.0,6.249999991319445e-06,28523409.363745503,1.0909090909090908
0.0,1.0,12600000,3.0,0.7878787878787878,0.0,0.6888888888888889,0.0,2.3809523790627362e-06,15791872.38890999,2.3636363636363633
0.0,0.5581395348837209,3900000,3.9,0.0,0.1764705882352941,0.6444444444444445,0.0,9.999999974358975e-06,390000000.0,0.0
0.0,0.0232558139534883,15985000,3.9,0.7272727272727273,0.7058823529411764,0.2,0.0,2.4397872990680092e-06,21681257.706535142,2.8363636363636364
0.0,0.7209302325581395,15570000,3.9,0.5757575757575758,0.0588235294117647,0.2,0.0,2.5048169540752623e-06,26580962.23486808,2.2454545454545456
0.0,0.1162790697674418,9999000,3.9,0.3939393939393939,0.9411764705882352,0.2444444444444444,0.3333333333333333,3.900390035103121e-06,24753713.42835709,1.5363636363636362
0.0,0.6046511627906976,7360000,3.9,0.3333333333333333,0.1764705882352941,0.2,0.0,5.298913036278651e-06,21436893.203883495,1.2999999999999998
0.0,0.7441860465116279,13550000,3.9,0.4848484848484848,0.1764705882352941,0.2,0.0,2.878228780163669e-06,27382118.799755055,1.8909090909090907
0.0,0.0,12040000,3.9,0.9090909090909092,0.0,0.2,0.3333333333333333,3.239202655116941e-06,13099901.088031651,3.545454545454546
0.0,0.6511627906976745,4900000,3.9,0.9696969696969696,0.1764705882352941,0.7555555555555555,0.0,7.959183657226156e-06,5001546.551190845,3.7818181818181813
0.0,0.3488372093023256,9700000,3.9,0.2727272727272727,0.1764705882352941,0.6222222222222222,0.6666666666666666,4.020618552556063e-06,34308681.672025725,1.0636363636363635
0.0,0.7906976744186046,3800000,4.0,0.0303030303030303,0.6470588235294118,0.2,0.0,1.0526315761772854e-05,94285714.2857143,0.1212121212121212
0.0,0.4418604651162791,4900000,3.9,0.7575757575757576,0.7647058823529411,0.2,0.0,7.959183657226156e-06,6383734.701934465,2.9545454545454546
0.0,0.0465116279069767,7800000,3.9,0.2727272727272727,0.1764705882352941,0.2,0.0,4.999999993589744e-06,27588424.437299035,1.0636363636363635
0.0,0.5581395348837209,5760000,2.0,0.2424242424242424,0.0,0.7111111111111111,0.0,3.4722222161940587e-06,22818727.4909964,0.4848484848484848
0.0,0.4651162790697674,6100000,3.9,0.1212121212121212,0.1764705882352941,0.2,0.0,6.393442612469767e-06,46489607.39030024,0.47272727272727266
0.0,0.6511627906976745,6800000,3.9,0.4545454545454546,0.1764705882352941,0.2,0.0,5.735294109212803e-06,14637964.774951074,1.772727272727273
0.0,0.2790697674418604,6710000,3.9,0.3939393939393939,0.1764705882352941,0.9111111111111112,0.0,5.812220557656899e-06,16611402.85071268,1.5363636363636362
0.0,0.3720930232558139,11200000,3.9,0.3939393939393939,0.4705882352941176,0.2,0.0,3.482142854033801e-06,27726931.732933234,1.5363636363636362
0.0,0.0930232558139534,6700000,3.9,0.4848484848484848,0.1764705882352941,0.2,0.0,5.820895513700156e-06,13539497.856705451,1.8909090909090907
0.0,0.3255813953488372,7450000,3.9,0.2424242424242424,0.7647058823529411,0.5111111111111112,0.3333333333333333,5.23489932183235e-06,29513805.522208888,0.9454545454545453
0.0,0.5581395348837209,8300000,3.9,0.0909090909090909,0.7058823529411764,0.2,0.0,4.6987951750616926e-06,82252252.25225227,0.3545454545454545
0.0,0.813953488372093,4938400,4.2,0.9090909090909092,0.7058823529411764,0.5333333333333333,0.0,8.504778858527501e-06,5373135.509396637,3.818181818181819
0.0,0.813953488372093,6470300,4.2,0.0,0.7058823529411764,1.0,0.0,6.491198234253129e-06,647030000.0,0.0
0.0,0.0930232558139534,5900000,3.9,0.4848484848484848,0.1764705882352941,0.2,0.0,6.610169480321747e-06,11922841.396203307,1.8909090909090907
0.0,0.0930232558139534,5900000,3.9,0.4848484848484848,0.1764705882352941,0.2,0.0,6.610169480321747e-06,11922841.396203307,1.8909090909090907
0.0,0.5581395348837209,6500000,4.5,0.0,0.8823529411764706,0.1555555555555555,0.0,6.9230769124260355e-06,650000000.0,0.0
0.0,0.627906976744186,7150000,4.3,0.2727272727272727,0.2941176470588235,0.2,0.0,6.013986005574845e-06,25289389.067524116,1.1727272727272726
0.0,0.627906976744186,7950000,3.8,0.9393939393939394,0.1764705882352941,0.7777777777777778,0.0,4.779874207824058e-06,8373763.166294286,3.56969696969697
0.0,0.2325581395348837,4200000,3.5,0.1515151515151515,0.1764705882352941,0.2,0.0,8.333333313492065e-06,26003752.345215764,0.5303030303030303
0.0,0.7674418604651163,3400000,4.0,0.5454545454545454,0.4117647058823529,0.9555555555555556,0.0,1.1764705847750867e-05,6121112.929623568,2.1818181818181817
0.0,0.8604651162790697,409000,4.0,0.4848484848484848,0.1764705882352941,0.2,0.0,9.779950861125896e-05,826515.6154317209,1.9393939393939392
0.0,0.5581395348837209,99000,4.1,0.4848484848484848,0.1764705882352941,0.2,0.0,0.0004141413723089523,200061.23698714023,1.9878787878787876
0.0,0.5581395348837209,87000,4.1,0.4848484848484848,0.1764705882352941,0.6666666666666667,0.0,0.00047126431364778005,175811.3900796081,1.9878787878787876
0.0,0.5581395348837209,145000,3.9,0.4848484848484848,0.1764705882352941,0.977777777777778,0.0,0.0002689654986920346,293018.9834660135,1.8909090909090907
