category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,image_path,product_url
پلوپز,پارس خزر,4259000.0,4.3,12.0,تایمر,nan,استیل,,D:/پلوپز/image_27.jpg,https://www.digikala.com/product/dkp-1818889/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-271-ts/
پلوپز,مولینکس,3600000.0,4.6,8.0,nan,تفلون,پلاستیک,1.8,D:/پلوپز/image_28.jpg,https://www.digikala.com/product/dkp-3304813/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-rc1108-10w/
پلوپز,متفرقه,6000000.0,4.4,6.0,تایمر,nan,stainless steel,1.8,D:/پلوپز/image_29.jpg,https://www.digikala.com/product/dkp-4936847/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%B1%D8%AF%D8%A7%DB%8C%D8%B2-%D9%85%D8%AF%D9%84-p-72/
پلوپز,رنکارد,4850000.0,,8.0,nan,استیل,استیل,6.0,D:/پلوپز/image_30.jpg,https://www.digikala.com/product/dkp-2593647/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%B1%D9%86%DA%A9%D8%A7%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-ran-631/
پلوپز,مایدیا,16800000.0,4.1,6.0,تایمر,پلاستیک,استیل,5.0,D:/پلوپز/image_31.jpg,https://www.digikala.com/product/dkp-2668277/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D8%A7%DB%8C%D8%AF%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-rcf-509s/
پلوپز,گوسونیک,11760000.0,3.0,,nan,تفلون,استیل - پلاستیک,1.8,D:/پلوپز/image_32.jpg,https://www.digikala.com/product/dkp-905128/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-grc-687/
پلوپز,مولینکس,4600000.0,4.0,10.0,nan,روکش سرامیک نچسب,پلاستیک,1.8,D:/پلوپز/image_33.jpg,https://www.digikala.com/product/dkp-31643/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mk1561q/
پلوپز,بلک اند دکر,2550000.0,1.0,,nan,nan,پلاستیک,0.6,D:/پلوپز/image_34.jpg,https://www.digikala.com/product/dkp-14699223/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%A8%D9%84%DA%A9-%D8%A7%D9%86%D8%AF-%D8%AF%DA%A9%D8%B1-%D9%85%D8%AF%D9%84-rc650/
پلوپز,مولینکس,4600000.0,,10.0,nan,تفلون,پلاستیک,1.8,D:/پلوپز/image_35.jpg,https://www.digikala.com/product/dkp-3275331/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mk1561-2s/
پلوپز,مولینکس,3600000.0,4.0,,nan,تفلون,nan,,D:/پلوپز/image_36.jpg,https://www.digikala.com/product/dkp-857071/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-rc1108/
پلوپز,متفرقه,10000000.0,2.0,,nan,استیل,nan,,D:/پلوپز/image_37.jpg,https://www.digikala.com/product/dkp-2453320/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%D9%86%D8%AF%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-jbt4088-2012/
پلوپز,متفرقه,6500000.0,4.0,10.0,تایمر,تفلون,پلاستیک,1.8,D:/پلوپز/image_38.jpg,https://www.digikala.com/product/dkp-3497502/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%B2%DB%8C%DA%A9%D9%88-%D8%B3%DB%8C%D8%B3%D8%AA%D9%85-%D9%85%D8%AF%D9%84-ze-7503/
پلوپز,میجیا,6845500.0,2.3,6.0,تایمر,nan,آلیاژ,4.0,D:/پلوپز/image_39.jpg,https://www.digikala.com/product/dkp-4168140/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%DB%8C%D8%AC%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-c1-4l/
پلوپز,متفرقه,8000000.0,3.5,12.0,تایمر,تفلون نچسب,پلاستیک و استیل ضدزنگ,6.0,D:/پلوپز/image_40.jpg,https://www.digikala.com/product/dkp-2992757/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%B1%D8%B4%DB%8C%D8%A7%D9%81%D8%B1%D8%A7%D9%86%D8%B3-%D9%85%D8%AF%D9%84-pr-415/
پلوپز,دسینی,5960000.0,3.7,8.0,تایمر,تفلون,باکالیت,6.0,D:/پلوپز/image_41.jpg,https://www.digikala.com/product/dkp-468472/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-60-%DA%A9%D8%A7%D8%B1%D9%87-%D8%AF%D8%B3%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-kf-500/
پلوپز,متفرقه,6050000.0,5.0,10.0,تایمر,آلومینیوم با پوشش دو لایه نچسب,پلاستیک و استیل,1.8,D:/پلوپز/image_42.jpg,https://www.digikala.com/product/dkp-456907/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%86%D8%A7%D8%B3%D8%A7-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ns-3074/
پلوپز,متفرقه,6370000.0,2.0,3.0,nan,المینیوم و استیل,پلاستیک,1.3,D:/پلوپز/image_43.jpg,https://www.digikala.com/product/dkp-3992966/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%D9%86%D8%AF%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-cfxbob-c3/
پلوپز,فیلیپس,6120000.0,3.0,8.0,nan,روکش طلایی 5 لایه ی نچسب و ضد خش,فلزی,1.0,D:/پلوپز/image_44.jpg,https://www.digikala.com/product/dkp-29005/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-hd3011/
پلوپز,مایدیا,6270000.0,4.7,8.0,تایمر,تفلون,استیل,1.8,D:/پلوپز/image_45.jpg,https://www.digikala.com/product/dkp-3594121/%D9%BE%D9%84%D9%88%D9%BE%D8%B2%D9%85%D8%A7%DB%8C%D8%AF%DB%8C%D8%A7-%D9%85%D8%AF%D9%84rcf-517s/
