category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,image_path,product_url
اجاق گاز,زرتوس,3300000,4.0,سه شعله,فولاد,چدن,nan,10,nan,30,D:/اجاق گاز/image_25.jpg,https://www.digikala.com/product/dkp-7314047/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%B2%D8%B1%D8%AA%D9%88%D8%B3-%D9%85%D8%AF%D9%84-zg3010/
اجاق گاز,آذر افروز پویا,5626000,2.8,پنج شعله,آهن,چدنی,nan,88,80,60,D:/اجاق گاز/image_26.jpg,https://www.digikala.com/product/dkp-4503837/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A2%D8%B0%D8%B1-%D8%A7%D9%81%D8%B1%D9%88%D8%B2-%D9%BE%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-cho2/
اجاق گاز,اسنوا,31500000,3.7,پنج شعله,استیل,nan,90,80,90,60,D:/اجاق گاز/image_27.jpg,https://www.digikala.com/product/dkp-17345021/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-6211/
اجاق گاز,هاکان,4800000,3.8,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_28.jpg,https://www.digikala.com/product/dkp-13529960/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%BE%D9%86%D8%AC-%D8%B4%D8%B9%D9%84%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%DA%86%D8%AF%D9%86-%DA%AF%D8%B1%D8%AF/
اجاق گاز,دنپاسر,4947000,3.7,پنج شعله,nan,چدنی,nan,nan,nan,nan,D:/اجاق گاز/image_29.jpg,https://www.digikala.com/product/dkp-8649143/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-mdf1k2d/
اجاق گاز,اخوان,25351000,4.6,پنج شعله,استیل خش دار,nan,nan,90,nan,60,D:/اجاق گاز/image_30.jpg,https://www.digikala.com/product/dkp-12186464/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-m8-edtr/
اجاق گاز,جی پاس,4420000,3.5,تک شعله,شیشه,شیشه,nan,6.4,41.7,29.7,D:/اجاق گاز/image_31.jpg,https://www.digikala.com/product/dkp-3689347/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A8%D8%B1%D9%82%DB%8C-%D8%AC%DB%8C-%D9%BE%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gic6920n/
اجاق گاز,دنپاسر,6596000,2.2,پنج شعله,فلز,چدنی,nan,90,90,60,D:/اجاق گاز/image_33.jpg,https://www.digikala.com/product/dkp-12168703/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-den902/
اجاق گاز,دنپاسر,5100000,2.5,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,60,D:/اجاق گاز/image_35.jpg,https://www.digikala.com/product/dkp-12327621/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-mdf2dup/
اجاق گاز,هاکان,5130000,2.3,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_37.jpg,https://www.digikala.com/product/dkp-13251695/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%B5%D9%81%D8%AD%D9%87-%D8%B4%DB%8C%D8%B4%D9%87-%D9%88%D9%84%D9%88%D9%85-%D8%A8%D8%A7%D9%84%D8%A7-%D8%B3%D9%87-%DA%A9%D8%B4%D9%881230/
