category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material
0.0,0.9818181818181818,17100000,1.0,0.0,0.08333333333333333,0.3333333333333333,1.0,0.3125
0.0,0.19999999999999998,2898000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.6727272727272727,2260000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.45454545454545453,9785000,4.1,0.0,0.3333333333333333,0.0,1.0,0.6875
0.0,0.6,2300000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.36363636363636365,48800000,4.6,0.5,0.3333333333333333,0.0,1.0,0.25
0.0,0.21818181818181817,1890000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.4727272727272727,1140000,3.7,0.25,0.3333333333333333,0.0,1.0,0.3125
0.0,0.7999999999999999,9660000,4.1,0.0,0.625,0.0,1.0,0.5625
0.0,0.4909090909090909,8150000,4.1,0.0,0.7083333333333333,0.3333333333333333,0.5,0.25
0.0,0.7272727272727273,5000000,1.0,0.0,0.7916666666666666,0.3333333333333333,1.0,0.3125
0.0,0.18181818181818182,2080000,5.0,0.0,0.29166666666666663,0.0,1.0,0.875
0.0,0.3818181818181818,1450000,4.5,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.509090909090909,750000,3.6,0.0,0.3333333333333333,0.0,0.0,0.25
0.0,0.7999999999999999,4696460,3.6,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.9818181818181818,3980000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.5272727272727272,4200000,4.3,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.509090909090909,14000000,4.1,0.0,0.9166666666666666,0.0,0.5,0.3125
0.0,0.6727272727272727,4680000,5.0,0.0,0.375,0.0,1.0,0.3125
0.0,0.509090909090909,6700000,4.0,0.0,0.5,0.0,0.5,0.4375
0.0,0.9272727272727272,13171900,2.6,1.0,0.0,0.3333333333333333,1.0,0.25
0.0,0.509090909090909,2860000,4.0,1.0,0.5,1.0,1.0,1.0
0.0,0.01818181818181818,2900000,3.8,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.4909090909090909,9600000,3.5,0.0,0.9166666666666666,0.0,0.5,0.25
0.0,0.41818181818181815,7100000,4.1,0.0,0.41666666666666663,0.3333333333333333,0.5,0.25
0.0,0.32727272727272727,1951000,5.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.03636363636363636,1950000,4.0,0.0,0.25,0.6666666666666666,1.0,0.25
0.0,0.3090909090909091,2650000,4.1,0.0,0.20833333333333331,0.6666666666666666,0.5,0.25
0.0,0.12727272727272726,3589000,3.5,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.09090909090909091,9313970,5.0,0.0,0.9166666666666666,0.3333333333333333,0.5,0.25
0.0,0.2545454545454545,1300000,4.1,0.25,0.3333333333333333,0.0,1.0,0.25
0.0,0.5272727272727272,3300000,4.3,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.05454545454545454,11800000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.5454545454545454,9400000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.07272727272727272,22900000,3.0,0.0,0.8333333333333333,0.3333333333333333,0.5,0.625
0.0,0.34545454545454546,1139000,4.1,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3125
0.0,0.509090909090909,1650000,4.8,0.0,0.3333333333333333,0.0,1.0,0.4375
0.0,0.3090909090909091,4200000,4.5,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.5636363636363636,2100000,3.5,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.3090909090909091,3700000,3.8,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.7636363636363636,4500000,4.4,0.0,0.41666666666666663,0.0,1.0,0.25
0.0,0.509090909090909,3449000,4.3,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.8545454545454545,38710200,4.1,0.75,0.75,1.0,1.0,0.25
0.0,0.8181818181818181,22795000,3.9,0.0,0.08333333333333333,0.0,1.0,0.25
0.0,0.509090909090909,725000,2.5,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.8363636363636363,600000,4.0,0.25,0.3333333333333333,0.0,1.0,0.3125
0.0,0.9818181818181818,2799000,4.2,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.39999999999999997,2259000,3.9,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.7454545454545454,1200000,3.0,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.6,4150000,5.0,0.0,0.25,0.0,1.0,0.125
0.0,0.16363636363636364,4150000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.6181818181818182,5850000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.6363636363636364,2960000,5.0,0.0,0.41666666666666663,0.0,1.0,0.1875
0.0,0.509090909090909,1350000,4.1,0.0,0.3333333333333333,0.6666666666666666,1.0,0.25
0.0,0.23636363636363636,12500000,4.4,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.6,3473180,4.1,0.0,0.3333333333333333,0.0,1.0,0.125
0.0,0.6545454545454545,1100000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.509090909090909,6000000,4.0,0.0,0.16666666666666666,0.0,1.0,0.25
0.0,0.509090909090909,600000,3.4,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.0,9025000,4.1,0.0,0.7083333333333333,0.3333333333333333,0.5,0.25
0.0,0.509090909090909,3980000,3.0,0.0,0.3333333333333333,0.0,1.0,0.4375
0.0,0.9454545454545454,8450000,4.1,0.0,0.41666666666666663,0.0,1.0,0.8125
0.0,0.21818181818181817,1799000,4.7,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.2909090909090909,1748010,4.1,0.0,0.16666666666666666,0.0,1.0,0.25
0.0,0.41818181818181815,8700000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.14545454545454545,10700000,4.1,0.0,0.7083333333333333,0.6666666666666666,1.0,0.25
0.0,0.509090909090909,1900000,4.1,0.25,0.3333333333333333,0.0,1.0,0.25
0.0,0.9454545454545454,8600000,4.1,0.0,0.5,0.3333333333333333,0.5,0.75
