category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening
0.0,0.8,42318600,3.6,0.0625,0.75,0.022270505160239,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.0,0.0,1.0
0.0,0.0,25141560,3.0,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.0,1.0
0.0,0.0,24559000,4.0,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.8888888888888888,0.75,0.6153846153846154,1.0
0.0,0.84,31500000,4.6,0.9375,0.5,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.12,39870700,4.4,0.0,0.75,0.02770233568712656,0.024374999999999994,0.047787610619469026,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.08,7970000,3.6,0.125,0.75,1.0,1.0,0.8938053097345132,0.5555555555555556,0.75,0.0,0.0
0.0,0.8,41500000,3.7,0.9375,0.75,0.025529603476371537,0.024999999999999994,0.04424778761061947,0.3333333333333333,0.875,0.6153846153846154,1.0
0.0,0.6,11700000,4.7,0.5,0.75,0.01575230852797392,0.0,0.008849557522123894,0.5555555555555556,0.75,0.8461538461538463,0.0
0.0,0.12,33888000,4.2,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.03716814159292035,0.4444444444444444,0.75,0.6153846153846154,1.0
0.0,0.6,5100000,4.3,0.75,1.0,0.028788701792504062,0.003124999999999996,0.022123893805309727,0.5555555555555556,0.75,0.5384615384615385,0.0
0.0,0.2,27470000,4.2,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.2,30000000,4.2,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.96,30323220,3.3,0.8125,0.5,0.02770233568712656,0.024999999999999994,0.033628318584070796,0.5555555555555556,0.75,0.0,1.0
0.0,0.4,28990000,4.4,0.8125,0.75,0.025529603476371537,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.4,32780000,4.8,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.049557522123893805,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.0,34573230,4.6,0.9375,0.75,0.022270505160239,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.84,28200000,4.3,0.8125,0.75,0.8587724063009233,0.7,0.9999999999999999,0.5555555555555556,0.75,0.0,1.0
0.0,0.84,8390000,4.4,0.375,0.75,0.03856599674090168,0.009999999999999995,0.10265486725663718,0.5555555555555556,0.625,0.0,0.0
0.0,0.8,31750000,3.6,0.8125,0.75,0.02770233568712656,0.023749999999999993,0.03893805309734513,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.12,27490000,5.0,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.03008849557522124,0.4444444444444444,0.75,0.6153846153846154,1.0
0.0,0.84,28985640,5.0,0.8125,0.5,0.022270505160239,0.03125,0.05309734513274336,0.5555555555555556,0.75,0.6153846153846154,1.0
