category,brand,price,rating,power,blade_material,dimensions,food_prep_features,image_path,product_url
چرخ گوشت,یورولوکس,12600000,3,4000 وات,استیل,400x250x300,سوسیس ساز,D:/چرخ گوشت/image_72.jpg,https://www.digikala.com/product/dkp-4195716/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%DB%8C%D9%88%D8%B1%D9%88%D9%84%D9%88%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-eu-mg3156ls/
چرخ گوشت,متفرقه,3900000,3.9,1000 وات,nan,39*19*32,nan,D:/چرخ گوشت/image_73.jpg,https://www.digikala.com/product/dkp-860367/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A2%D9%88%D8%A7-%DA%A9%D8%AF-m101/
چرخ گوشت,آی کیو,15985000,nan,3800 وات وات,فولاد,nan,nan,D:/چرخ گوشت/image_74.jpg,https://www.digikala.com/product/dkp-18228173/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A2%DB%8C-%DA%A9%DB%8C%D9%88-%D9%85%D8%AF%D9%84-ij-707mg/
چرخ گوشت,هیلداکس,15570000,nan,3300 وات,استیل تیتانیومی ضد زنگ,nan,nan,D:/چرخ گوشت/image_75.jpg,https://www.digikala.com/product/dkp-17773500/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-3300-%D9%88%D8%A7%D8%AA-%D9%87%DB%8C%D9%84%D8%AF%D8%A7%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-hd-6040mg/
چرخ گوشت,بیترون,9999000,nan,2400 وات,فولادی ضد زنگ,30x20x15,سیستم چرخش معکوس,D:/چرخ گوشت/image_76.jpg,https://www.digikala.com/product/dkp-16207353/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A8%DB%8C%D8%AA%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%84-bmg-dc4/
چرخ گوشت,موندو,7360000,nan,220 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_77.jpg,https://www.digikala.com/product/dkp-17627914/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%85%D9%88%D9%86%D8%AF%D9%88-%D9%85%D8%AF%D9%84-mmg-7020/
چرخ گوشت,وسترن هاوس,13550000,nan,3000 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_78.jpg,https://www.digikala.com/product/dkp-17249293/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%88%D8%B3%D8%AA%D8%B1%D9%86-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-wmg-3750s/
چرخ گوشت,آرنیکا,12040000,nan,700 وات,استیل,nan,سیستم چرخش معکوس,D:/چرخ گوشت/image_79.jpg,https://www.digikala.com/product/dkp-18300048/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A2%D8%B1%D9%86%DB%8C%DA%A9%D8%A7-%D9%85%D8%AF%D9%84-gh21220/
چرخ گوشت,نانیوا,4900000,nan,800 وات وات,nan,40x30x30,nan,D:/چرخ گوشت/image_80.jpg,https://www.digikala.com/product/dkp-13640919/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D9%86%DB%8C%D9%88%D8%A7-%D9%85%D8%AF%D9%84-mk-g49/
چرخ گوشت,زنیت,9700000,nan,2000 وات,استیل ضد زنگ,38x19x35,قابلیت تنظیم سرعت,D:/چرخ گوشت/image_81.jpg,https://www.digikala.com/product/dkp-17618160/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B2%D9%86%DB%8C%D8%AA-%D9%85%D8%AF%D9%84-mgz-1422/
چرخ گوشت,ویکنز,3800000,4,1200 وات,فلزی,nan,nan,D:/چرخ گوشت/image_82.jpg,https://www.digikala.com/product/dkp-17944901/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%88%DB%8C%DA%A9%D9%86%D8%B2-%D9%85%D8%AF%D9%84-vic-2130/
چرخ گوشت,سوزوکی,4900000,nan,400 وات وات,فولاد ضد زنگ,nan,nan,D:/چرخ گوشت/image_83.jpg,https://www.digikala.com/product/dkp-18452374/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B3%D9%88%D8%B2%D9%88%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-pm-i2600a/
چرخ گوشت,ارشیا,7800000,nan,2000 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_84.jpg,https://www.digikala.com/product/dkp-17971178/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A7%D8%B1%D8%B4%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-as-2403-521/
چرخ گوشت,متفرقه,5760000,2,1800 وات,استیل,400x270x220,سوسیس ساز,D:/چرخ گوشت/image_85.jpg,https://www.digikala.com/product/dkp-5441823/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A7%D9%84%DB%8C%D9%86%D9%88%D8%B1-%D9%85%D8%AF%D9%84-emg-2500/
