category,brand,price,rating,capacity,energy_rating,baskets,height,width,depth,image_path,product_url
ماشین ظرفشویی,کندی,37800000,3.0,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_27.jpg,https://www.digikala.com/product/dkp-12749791/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DA%A9%D9%86%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-pfd-315/
ماشین ظرفشویی,جی پلاس,27990000,3.9,14,nan,سه,84.5,60.0,60.0,D:/ماشین ظرفشویی/image_28.jpg,https://www.digikala.com/product/dkp-7642446/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-l463s/
ماشین ظرفشویی,جی پلاس,31400000,3.5,15,nan,سه,84.5,59.8,61.0,D:/ماشین ظرفشویی/image_29.jpg,https://www.digikala.com/product/dkp-16460373/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B5-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-p5673s/
ماشین ظرفشویی,جی پلاس,33640000,3.0,15,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_30.jpg,https://www.digikala.com/product/dkp-14660486/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-n4673ns-%D8%AC%D8%B4%D9%86%D9%88%D8%A7%D8%B1%D9%87-%D9%86%D9%88%D8%B1%D9%88%D8%B2%DB%8C-%DA%AF%D9%84%D8%AF%DB%8C%D8%B1%D8%A7%D9%86/
ماشین ظرفشویی,جی پلاس,34000000,4.3,14,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_31.jpg,https://www.digikala.com/product/dkp-17815034/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-f453w/
ماشین ظرفشویی,وست پوینت,44100000,2.7,15,nan,سه,83.0,60.0,60.0,D:/ماشین ظرفشویی/image_32.jpg,https://www.digikala.com/product/dkp-13266477/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%88%D8%B3%D8%AA-%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-wyg-15824ec/
ماشین ظرفشویی,دوو,39700000,4.1,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_33.jpg,https://www.digikala.com/product/dkp-5140827/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dwk-2560/
ماشین ظرفشویی,جی پلاس,38000000,4.2,14,nan,سه,80.0,60.0,60.0,D:/ماشین ظرفشویی/image_34.jpg,https://www.digikala.com/product/dkp-16564941/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B4-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-n1473s/
ماشین ظرفشویی,وست پوینت,47500000,4.2,15,nan,سه,76.0,60.0,60.0,D:/ماشین ظرفشویی/image_35.jpg,https://www.digikala.com/product/dkp-17188684/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B5-%D9%86%D9%81%D8%B1%D9%87-%D9%88%D8%B3%D8%AA-%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-wyg-15925e/
ماشین ظرفشویی,جی پلاس,33400000,,14,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_36.jpg,https://www.digikala.com/product/dkp-17816338/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-f453ns/
ماشین ظرفشویی,امرسان,41500000,,14,nan,nan,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_37.jpg,https://www.digikala.com/product/dkp-15777431/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D9%85%D8%B1%D8%B3%D8%A7%D9%86-%D9%85%D8%AF%D9%84-ed14-mi2/
ماشین ظرفشویی,جی پلاس,32025800,,14,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_38.jpg,https://www.digikala.com/product/dkp-17815137/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-f453s/
ماشین ظرفشویی,بلانتون,41000000,,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_39.jpg,https://www.digikala.com/product/dkp-16680973/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-15-%D9%86%D9%81%D8%B1%D9%87-%D8%A8%D9%84%D8%A7%D9%86%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-bbt-dw1522w/
ماشین ظرفشویی,مایدیا,39000000,,8,nan,دو,59.0,55.0,50.0,D:/ماشین ظرفشویی/image_40.jpg,https://www.digikala.com/product/dkp-14112832/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%85%D8%A7%DB%8C%D8%AF%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-wqp8-3802f-s/
ماشین ظرفشویی,وست پوینت,42100000,2.7,15,nan,سه,85.0,,60.0,D:/ماشین ظرفشویی/image_41.jpg,https://www.digikala.com/product/dkp-7663536/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%88%D8%B3%D8%AA-%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-wyg-15620esc/
ماشین ظرفشویی,تکنوهاوس,37990000,,15,nan,سه,85.0,65.0,55.0,D:/ماشین ظرفشویی/image_42.jpg,https://www.digikala.com/product/dkp-18114108/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B5-%D9%86%D9%81%D8%B1%D9%87-%D8%AA%DA%A9%D9%86%D9%88-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-dw15-max-l916w/
ماشین ظرفشویی,لئوکو,32980000,,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_43.jpg,https://www.digikala.com/product/dkp-13901610/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%84%D8%A6%D9%88%DA%A9%D9%88-%D9%85%D8%AF%D9%84-lds150s-clone-1-of-13901442/
ماشین ظرفشویی,مجیک,42000000,3.6,8,nan,یک,550.0,594.0,596.0,D:/ماشین ظرفشویی/image_44.jpg,https://www.digikala.com/product/dkp-396506/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D9%85%D8%AC%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-kor-2155b/
